Statistics,Total Population,PIT Count,Homelessness per 10000,White Alone,Black Alone,Asian Alone,High School Graduate,Bachelors Degree,Unemployed,Living in Poverty,Married Couple Family,Male Householder,Female Householder,Single Parent Children,Median Household Income,Moved WithIn Same County,Moved From Different County,Moved From Different State,Moved From Abroad,Vacant Units,Actual Renters,30 Percent Income As Rent,50 Percent Income As Rent,Mon Housing Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Hill ,"10,698",2,1.869508319,55.8%,27.4%,3.9%,37.6%,15.3%,5.9%,12.2%,32.3%,3.7%,19.8%,65.9%,"$69,176",1.2%,0.4%,0.6%,0.0%,5.6%,9.5%,30.1%,22.9%,35.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runnemede ,"8,307",,0,81.7%,7.6%,2.5%,38.9%,18.1%,5.3%,12.1%,42.4%,7.9%,10.8%,30.5%,"$85,700",3.2%,1.8%,0.4%,0.0%,8.2%,2.9%,29.1%,16.7%,54.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerdale ,"5,524",,0,60.0%,29.5%,2.1%,32.3%,14.6%,5.9%,10.1%,42.1%,6.0%,14.3%,43.2%,"$83,778",0.9%,0.9%,0.2%,0.3%,2.2%,9.6%,5.3%,38.2%,49.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratford ,"6,962",,0,75.6%,7.1%,2.8%,33.0%,26.5%,3.5%,9.1%,53.6%,5.8%,11.0%,29.5%,"$89,200",1.0%,0.5%,0.0%,0.2%,1.2%,1.7%,19.2%,36.8%,56.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavistock ,12,,0,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voorhees ,"30,876",,0,65.3%,8.2%,19.0%,17.4%,31.2%,3.5%,7.0%,54.2%,3.6%,7.7%,14.4%,"$108,518",2.6%,3.1%,0.6%,1.7%,3.9%,7.5%,24.1%,28.1%,21.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterford ,"10,411",1,0.960522524,86.1%,2.7%,2.4%,40.4%,15.8%,4.4%,8.4%,62.0%,6.9%,8.6%,23.6%,"$99,799",0.1%,0.0%,0.0%,0.0%,3.6%,13.7%,31.8%,23.3%,27.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winslow ,"39,854",67,16.81136147,47.7%,36.9%,3.4%,29.5%,17.6%,5.4%,11.4%,45.8%,7.3%,16.5%,41.7%,"$87,179",2.6%,0.7%,0.0%,0.0%,5.3%,2.0%,28.4%,32.1%,39.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodlynne ,"2,904",,0,27.7%,22.5%,7.4%,39.4%,9.6%,7.2%,15.5%,24.7%,17.8%,37.2%,76.2%,"$68,125",5.3%,0.8%,1.2%,2.1%,18.8%,0.0%,25.0%,21.0%,36.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.5%,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
